Man United,Fulham,West Ham,Aston Villa,Nott'm Forest,Bournemouth,Newcastle,Southampton,Ipswich,Liverpool,Arsenal,Wolves,Everton,Brighton,Brentford,Crystal Palace,Chelsea,Man City,Leicester,Tottenham
50,48,54,57,56,72,75,31,34,60,56,41,44,41,49,58,63,66,38,57
51,51,36,60,63,43,56,49,48,58,61,42,57,42,59,63,50,61,45,50
68,45,45,56,51,64,61,49,43,62,69,48,52,49,43,52,54,55,42,56
54,57,53,45,44,72,60,33,47,61,50,54,44,52,50,48,67,69,39,48
57,58,44,57,48,58,38,36,36,72,71,48,52,42,68,61,57,64,36,52
55,51,44,42,52,53,50,36,53,58,66,44,47,71,52,49,67,70,49,50
54,52,47,55,48,76,60,32,31,70,70,30,46,49,54,54,55,53,39,70
56,47,54,45,43,63,47,37,39,71,75,46,43,64,63,51,54,59,41,57
65,45,53,63,49,55,51,42,37,77,69,43,34,57,63,64,37,54,41,54
55,43,44,48,53,60,59,34,58,65,61,43,37,45,68,55,62,61,45,65
68,50,55,34,51,43,56,39,40,66,69,37,58,47,58,55,51,62,63,54
50,56,41,55,38,51,62,33,33,72,63,44,43,54,70,54,59,54,45,68
41,66,41,39,56,63,50,28,47,58,54,61,48,68,52,51,58,73,43,61
55,65,46,56,67,60,55,29,39,65,77,40,43,48,48,52,57,66,38,55
42,53,48,67,58,60,56,42,41,53,76,50,44,36,58,38,63,71,52,38
56,55,34,65,50,52,55,34,50,53,68,56,53,49,45,66,53,62,40,60
50,46,53,35,59,65,54,50,26,64,68,45,55,61,45,52,60,68,31,58
46,39,58,46,50,51,43,47,40,76,63,33,61,44,57,45,76,74,49,56
45,51,56,64,42,58,50,31,44,57,67,43,59,64,51,57,69,62,38,44
53,53,57,60,55,56,58,36,35,68,50,56,47,57,58,41,45,71,48,53
55,47,33,59,63,51,46,41,43,57,50,50,54,47,68,59,50,75,48,48
63,66,37,50,55,56,46,49,36,61,68,54,40,46,52,57,48,61,42,62
48,54,49,62,63,49,52,46,42,74,72,56,41,50,59,57,55,70,25,42
60,43,58,41,74,62,61,34,48,77,73,47,54,37,59,40,44,61,29,55
59,44,31,78,45,49,60,39,38,76,72,44,54,54,61,57,67,53,38,49
49,57,43,65,53,62,44,24,58,54,67,51,59,42,58,48,49,66,49,57
71,59,45,49,57,54,52,34,43,71,80,40,55,39,54,58,40,61,38,63
44,53,43,57,53,61,65,47,42,63,66,43,55,59,41,50,38,71,49,50
60,43,56,42,56,69,44,40,31,64,79,40,50,59,61,70,40,71,42,49
44,52,57,52,55,85,47,32,29,62,81,42,47,41,56,65,60,55,48,61
60,57,42,41,56,54,61,48,34,54,79,35,57,46,50,62,62,61,41,51
53,61,58,66,54,51,69,34,41,57,68,44,56,32,50,77,42,55,32,56
44,56,46,56,63,52,53,51,35,64,58,49,48,62,46,45,61,66,45,63
38,28,40,56,50,69,53,29,38,83,79,54,59,58,63,49,50,66,40,65
53,43,52,55,50,55,61,29,47,64,73,41,58,51,50,60,63,67,40,46
53,48,40,65,49,53,42,27,41,65,81,46,47,53,62,53,65,56,43,57
49,64,42,64,52,58,52,45,23,49,65,42,49,50,82,50,59,66,38,55
51,39,53,53,46,46,51,42,43,63,72,60,46,51,60,60,51,66,47,65
64,50,50,61,61,52,49,35,43,59,75,43,42,61,55,61,42,63,28,58
54,52,56,41,43,64,63,39,35,67,81,46,35,33,59,70,57,71,38,52
48,46,56,50,56,68,55,50,39,66,65,49,50,46,58,55,44,62,36,54
53,51,45,58,59,65,57,35,42,32,71,54,51,55,47,62,57,73,34,56
48,52,40,62,56,57,62,63,36,43,66,39,44,41,51,58,64,75,31,71
34,64,45,43,65,52,57,40,53,56,73,53,38,45,46,62,57,64,44,54
57,51,44,55,44,61,63,29,38,63,73,51,47,65,56,47,73,66,33,42
49,48,56,62,50,59,54,19,33,75,79,52,48,43,56,56,60,61,44,71
47,51,38,55,66,63,60,46,27,67,77,60,53,39,43,55,44,67,36,63
64,39,42,51,52,56,46,38,44,64,76,39,45,72,47,62,50,64,43,50
53,53,42,54,44,52,52,39,45,61,79,55,34,59,55,62,51,68,44,59
60,51,39,49,60,48,63,40,34,63,73,48,51,54,57,61,45,69,39,56
45,60,42,49,56,58,50,42,25,66,66,44,59,44,62,56,57,65,43,51
46,67,46,49,68,52,51,29,25,71,65,49,47,61,54,55,58,54,46,63
56,54,50,67,62,53,44,42,32,66,65,45,54,46,54,45,50,58,49,71
55,43,55,38,52,60,72,29,42,76,58,47,48,49,65,56,51,57,50,52
54,58,46,52,57,52,62,37,52,55,65,39,52,68,47,50,51,55,44,56
47,61,44,36,51,51,61,38,49,56,88,47,47,59,56,54,49,64,43,55
54,58,43,64,44,75,66,33,25,65,67,50,42,49,56,51,70,65,32,49
51,55,45,55,55,58,75,35,33,62,50,36,58,33,55,66,74,63,44,51
60,55,52,49,44,47,53,24,48,74,79,40,44,66,52,66,53,60,40,48
48,40,49,45,57,59,64,32,29,65,53,60,55,45,61,52,56,81,48,66
51,66,45,43,66,73,35,25,48,71,70,43,55,62,51,56,37,63,51,58
57,55,45,52,55,49,57,38,36,77,69,49,40,49,55,53,60,66,45,39
